# cen dN/deta(ch)  v3{2} v3{2}_err
0.5 5.65332e+01 1.42726e-02 7.40170e-04
1.5 4.51290e+01 1.50343e-02 1.08190e-03
2.5 4.11076e+01 1.32885e-02 8.30770e-04
3.5 3.82459e+01 1.40155e-02 7.49280e-04
4.5 3.62920e+01 1.41399e-02 7.65520e-04
7.5 3.21868e+01 1.39591e-02 3.89640e-04
15 2.60847e+01 1.29083e-02 2.36932e-04
25 2.09167e+01 1.30163e-02 2.49170e-04
35 1.69959e+01 1.23841e-02 2.35645e-04
45 1.38249e+01 1.23661e-02 2.25889e-04
55 1.10055e+01 1.22882e-02 2.45938e-04
65 8.23262e+00 1.24942e-02 2.41076e-04
75 5.53490e+00 1.31773e-02 2.93994e-04
85 3.23560e+00 1.32484e-02 2.53731e-04
95 1.23039e+00 1.53420e-02 3.46845e-04
