# cen dN/deta(ch)  v3{2} v3{2}_err
0.5 5.65332e+01 3.26441e-02 1.81880e-03
1.5 4.51290e+01 3.60833e-02 2.77671e-03
2.5 4.11076e+01 3.27280e-02 2.09442e-03
3.5 3.82459e+01 3.49084e-02 1.80125e-03
4.5 3.62920e+01 3.68920e-02 2.17757e-03
7.5 3.21868e+01 3.66599e-02 1.10860e-03
15 2.60847e+01 3.55020e-02 6.64836e-04
25 2.09167e+01 3.71428e-02 7.63381e-04
35 1.69959e+01 3.62366e-02 6.86378e-04
45 1.38249e+01 3.71507e-02 7.10281e-04
55 1.10055e+01 3.81526e-02 7.49518e-04
65 8.23262e+00 4.00896e-02 7.41965e-04
75 5.53490e+00 4.48877e-02 1.16950e-03
85 3.23560e+00 4.64270e-02 8.41006e-04
95 1.23039e+00 5.66786e-02 1.24929e-03
