# cen dN/deta(ch)  v2{2} v2{2}_err
0.5 2.79597e+01 4.14239e-02 1.85450e-03
1.5 1.92731e+01 4.61963e-02 1.51530e-03
2.5 1.56805e+01 4.60403e-02 1.45778e-03
3.5 1.29586e+01 4.76196e-02 1.52804e-03
4.5 1.00016e+01 4.55256e-02 1.37407e-03
