# cen dN/deta(ch)  v3{2} v3{2}_err
0.5 2.79597e+01 1.32117e-02 4.25797e-04
1.5 1.92731e+01 1.43324e-02 4.39594e-04
2.5 1.56805e+01 1.46725e-02 4.15980e-04
3.5 1.29586e+01 1.33213e-02 4.07617e-04
4.5 1.00016e+01 1.43263e-02 4.59057e-04
