# cen dN/deta(ch)  v2{2} v2{2}_err
0.5 2.79597e+01 7.61035e-02 3.34846e-03
1.5 1.92731e+01 8.56363e-02 2.88444e-03
2.5 1.56805e+01 8.70880e-02 2.76584e-03
3.5 1.29586e+01 9.12361e-02 2.98598e-03
4.5 1.00016e+01 9.05147e-02 2.74213e-03
