# cen dN/deta(ch)  v3{2} v3{2}_err
0.5 2.79597e+01 2.90840e-02 1.00320e-03
1.5 1.92731e+01 3.21312e-02 9.48669e-04
2.5 1.56805e+01 3.55949e-02 1.03598e-03
3.5 1.29586e+01 3.19376e-02 9.37074e-04
4.5 1.00016e+01 3.54443e-02 1.13157e-03
