#: table_doi: 10.17182/hepdata.61786.v2/t21
#: name: Table 21
#: description: Mean transverse momentum of charged pions in pPb collisions with centre-of-mass energy/nucleon=5.02 TeV.
#: data_file: data21.yaml
#: data_license:   
#: keyword reactions: P PB --> PI+ X | P PB --> PI- X
#: keyword observables: PT
#: keyword phrases: 
#: keyword cmenergies: 5020.0
#: RE,,,,,P PB --> (PI+ + PI-) X
#: SQRT(S)/NUCLEON [GEV],,,,,5020.0
#: YRAP(C=CM),,,,,0.0 TO 0.5
DNch/DETRAP,DNch/DETRAP LOW,DNch/DETRAP HIGH,EVENT CLASS [PCT],EVENT CLASS [PCT] LOW,EVENT CLASS [PCT] HIGH,MEAN(PT) [GEV],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
45.0,44.0,46.0,2.5,0.0,5.0,0.5453,0.00040,-0.00040,0.0154,-0.0154,0.0086,-0.0086
36.2,35.4,37.0,7.5,5.0,10.0,0.5375,0.00050,-0.00050,0.0147,-0.0147,0.0084,-0.0084
30.5,29.8,31.2,15.0,10.0,20.0,0.5293,0.00030,-0.00030,0.0145,-0.0145,0.0082,-0.0082
23.2,22.7,23.7,30.0,20.0,40.0,0.5142,0.00030,-0.00030,0.0134,-0.0134,0.0078,-0.0078
16.1,15.7,16.5,50.0,40.0,60.0,0.4944,0.00030,-0.00030,0.013,-0.013,0.007,-0.007
9.8,9.6,10.0,70.0,60.0,80.0,0.4705,0.00040,-0.00040,0.012,-0.012,0.0068,-0.0068
4.4,4.3,4.5,90.0,80.0,100.0,0.4336,0.00050,-0.00050,0.0098,-0.0098,0.0061,-0.0061

