#: table_doi: 10.17182/hepdata.61786.v2/t18
#: name: Table 18
#: description: Mean transverse momentum of protons+antiprotons in pPb collisions with centre-of-mass energy/nucleon=5.02 TeV.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P PB --> P X | P PB --> PBAR X
#: keyword observables: PT
#: keyword phrases: 
#: keyword cmenergies: 5020.0
#: RE,,,,,P PB --> (P + PBAR) X
#: SQRT(S)/NUCLEON [GEV],,,,,5020.0
#: YRAP(C=CM),,,,,0.0 TO 0.5
DNch/DETRAP,DNch/DETRAP LOW,DNch/DETRAP HIGH,EVENT CLASS [PCT],EVENT CLASS [PCT] LOW,EVENT CLASS [PCT] HIGH,MEAN(PT) [GEV],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
45.0,44.0,46.0,2.5,0.0,5.0,1.248,0.004,-0.004,0.043,-0.043,0.02,-0.02
36.2,35.4,37.0,7.5,5.0,10.0,1.223,0.004,-0.004,0.049,-0.049,0.024,-0.024
30.5,29.8,31.2,15.0,10.0,20.0,1.186,0.004,-0.004,0.054,-0.054,0.018,-0.018
23.2,22.7,23.7,30.0,20.0,40.0,1.132,0.003,-0.003,0.044,-0.044,0.014,-0.014
16.1,15.7,16.5,50.0,40.0,60.0,1.053,0.002,-0.002,0.036,-0.036,0.012,-0.012
9.8,9.6,10.0,70.0,60.0,80.0,0.9607,0.0024,-0.0024,0.0304,-0.0304,0.0125,-0.0125
4.4,4.3,4.5,90.0,80.0,100.0,0.8208,0.0029,-0.0029,0.0238,-0.0238,0.0116,-0.0116

